,station,year_season_ext,year_season,season,tav,tmax,tmin,rad,x,y
141,4,S.2021,3.2021,3,21.991803278688526,38.5,9.6,279.37868852459013,605801,467364
142,4,S.2022,3.2022,3,24.5327868852459,39.4,12.6,295.75245901639346,605801,467364
143,4,S.2023,3.2023,3,23.529824561403508,39.9,10.4,294.5245614035088,605801,467364
144,4,W.2000,1.2000,1,5.752542372881355,19.9,-7.7,98.92542372881357,605801,467364
145,4,W.2001,1.2001,1,6.345945945945946,18.0,-5.0,101.68648648648649,605801,467364
146,4,W.2002,1.2002,1,6.406779661016949,18.0,-4.3,84.04067796610168,605801,467364
147,4,W.2003,1.2003,1,6.1739999999999995,19.0,-5.5,85.38799999999999,605801,467364
148,4,W.2004,1.2004,1,5.940677966101695,18.1,-3.5,84.18135593220339,605801,467364
149,4,W.2005,1.2005,1,3.8333333333333335,16.7,-6.8,99.49122807017544,605801,467364
150,4,W.2006,1.2006,1,5.176271186440678,19.8,-7.3,89.21016949152542,605801,467364
151,4,W.2007,1.2007,1,6.882456140350877,20.3,-6.4,91.48421052631579,605801,467364
152,4,W.2008,1.2008,1,6.33728813559322,19.7,-5.4,90.11694915254236,605801,467364
153,4,W.2009,1.2009,1,5.377966101694915,16.8,-4.7,90.69491525423729,605801,467364
154,4,W.2010,1.2010,1,5.128571428571429,19.3,-5.7,83.41224489795918,605801,467364
155,4,W.2011,1.2011,1,5.350847457627118,20.0,-7.7,91.94745762711864,605801,467364
156,4,W.2012,1.2012,1,5.354237288135593,19.8,-7.0,102.7186440677966,605801,467364
157,4,W.2013,1.2013,1,6.186440677966102,18.9,-4.5,87.92033898305085,605801,467364
158,4,W.2014,1.2014,1,7.1169491525423725,21.3,-4.9,80.52372881355932,605801,467364
159,4,W.2015,1.2015,1,5.315254237288136,17.8,-6.0,94.9864406779661,605801,467364
160,4,W.2016,1.2016,1,7.208474576271187,19.3,-3.2,71.5677966101695,605801,467364
161,4,W.2017,1.2017,1,6.354237288135593,19.9,-7.6,83.11694915254236,605801,467364
162,4,W.2018,1.2018,1,5.839655172413793,18.5,-5.3,87.87068965517241,605801,467364
163,4,W.2019,1.2019,1,6.452542372881355,22.8,-5.6,103.76610169491525,605801,467364
164,4,W.2020,1.2020,1,6.496610169491525,20.8,-3.7,90.61525423728814,605801,467364
165,4,W.2021,1.2021,1,7.277966101694915,20.2,-6.4,88.8406779661017,605801,467364
166,4,W.2022,1.2022,1,5.938983050847457,20.4,-6.1,103.7813559322034,605801,467364
167,4,W.2023,1.2023,1,4.676271186440678,18.9,-5.7,94.50508474576272,605801,467364
168,5,O.2000,1.2000,1,10.180952380952382,25.3,-1.8,179.21428571428572,578128,469040
169,5,O.2000,1.2001,1,7.225,14.5,0.3,48.75,578128,469040
170,5,O.2000,2.2000,2,14.68131868131868,35.8,-1.3,209.2956043956044,578128,469040
171,5,O.2000,3.2000,3,21.69,33.0,11.8,293.09000000000003,578128,469040
172,5,O.2000,4.2000,4,8.795,30.9,-1.9,68.445,578128,469040
173,5,O.2001,1.2001,1,11.647619047619047,22.8,-2.7,124.21904761904761,578128,469040
174,5,O.2001,1.2002,1,1.92,11.1,-12.0,64.28,578128,469040
175,5,O.2001,2.2001,2,15.067032967032967,35.8,-0.1,240.43406593406593,578128,469040
176,5,O.2001,3.2001,3,19.303333333333335,39.5,4.4,247.41,578128,469040
177,5,O.2001,4.2001,4,10.491397849462366,37.0,-9.2,104.07741935483872,578128,469040
178,5,O.2002,1.2002,1,10.476190476190476,27.0,0.4,120.92857142857143,578128,469040
179,5,O.2002,1.2003,1,8.23,16.7,1.4,60.010000000000005,578128,469040
180,5,O.2002,2.2002,2,14.936263736263736,35.4,-1.2,228.53516483516484,578128,469040
181,5,O.2002,3.2002,3,19.163333333333334,36.7,6.6,219.02666666666667,578128,469040
182,5,O.2002,4.2002,4,10.759550561797752,35.0,-3.7,102.97752808988764,578128,469040
183,5,O.2003,1.2003,1,9.952380952380953,21.6,-1.9,185.48571428571427,578128,469040
184,5,O.2003,1.2004,1,5.9799999999999995,11.7,1.1,53.71,578128,469040
185,5,O.2003,2.2003,2,16.01208791208791,35.9,1.1,241.91648351648354,578128,469040
